ADDRESS;ORIGINAL_LAT;ORIGINAL_LNG
129345, Россия, Москва, СВАО, Москва, Оборонная, 4, 15;55.88154;37.689213
129343, Россия, Москва, САО, Москва, Серебрякова, 14Б, стр 7;55.845855;37.657979
129337, Россия, Москва, ЦАО, Москва, Красная сосна, 2к1стр1;55.849408;37.676816
129301, Россия, Москва, СВАО, Москва, Ярославская, 14к1, подвал;55.823141;37.652229
129301, Россия, Москва, СВАО, Москва, Ярославская, 14к1, подвал;55.823141;37.652229
129626, Россия, Москва, СВАО, Москва, Кулаков переулок, 9а;55.804825;37.642429
127410, Россия, г Москва, г Москва, Алтуфьевское шоссе, 37 стр 1, Рама йога;55.867384;37.581523
127273, Россия, Москва, САО, Москва, Березовая аллея, 5А, С5;55.848291;37.619791
127273, Россия, Москва, САО, Москва, Березовая аллея, 5А, С5;55.848291;37.619791
129344, Россия, Москва, Москва, Енисейская, 1 с. 6;55.851687;37.668543
129281, Россия, Москва, СВАО, Москва, Менжинского, 38 к 3;55.871198;37.659362
127572, Россия, Москва, СВАО, Москва, Абрамцевская, 24 к.1, 227;55.905386;37.575828
129344, Россия, г Москва, Москва, ул Печорская, д3, кв 69;55.863015;37.671022
127562, Россия, г Москва, Москва, ул Каргопольская, д11 к 1, кв 47;55.863303;37.59109
129075, Россия, г Москва, Москва, ул Аргуновская, д10 к 2, кв 211;55.816171;37.622693
129337, Россия, г Москва, г. Москва, ш Ярославское, 19, 12;55.858523;37.685925
100000, Россия, Москва, Москва, Чермянский проезд, 7, 2505;55.888816;37.63261
129347, Россия, г Москва, Москва, ул Холмогорская, д2 к 3;55.882454;37.720403
129515, Россия, Москва, Москва, 2-я Останкинская, 1;55.825897;37.625415
119619, Россия, г Москва, Москва, ул Производственная, д2 к 1;55.6495;37.387846
